code,name,series,image,description
mdp-kdp,瞬時電圧低下保護装置,KDP series,/product/mdp/images/pic_mdp01.jpg,最大200kVAまでをカバーする瞬低保護装置KDPシリーズ。ランナップも20種を超えます。様々な機器をバックアップするため単相だけでなく三相にも対応しています。CE、SEMI規格に準拠した瞬低保護装置です。
mdp-kdp_g_b,瞬時電圧低下保護装置,"KDP-G,B series",/product/mdp/images/pic_mdp02.jpg,"「瞬低保護装置を簡単に使えるように」をコンセプトにしたKDP-G,Bシリーズ。出力コンセントを4個設け、複数の機器との接続を容易にしました。OA機器用としても使えるようにデスクトップタイプもラインナップしました。"
mdp-kdp_d,瞬時電圧低下保護装置,KDP-D series,/product/mdp/images/pic_mdp03.jpg,瞬低保護装置といえば「交流」をイメージしますが、KDP-Dはシーケンサーやリレーの保護用にDCをバックアップします。設置場所を選ばないコンパクトな直流瞬低保護装置です。
dc-sat,スパッタリング用DCパルス電源,SAT-56S/SAT-56D,/product/dc/images/pic_dc02.jpg,SAT-56シリーズはアーク遮断回路を内蔵したスパッタリング用電源です。直流出力はもちろんのことパルス出力としても使用できます。シングル、デュアルタイプがあり用途にあった使い方が可能です。SiC素子を用いた弊社独自の回路により、アーク蓄積エネルギーを200μJ/kW以下にすることを実現しております。
dc-kdc,プログラマブルDC電源（CVCC）,KDC series,/product/dc/images/pic_dc01.jpg,1U（44mm）サイズで最大1500Wの高出力直流安定化電源です。シンプルな設計で使いやすさを追求しています。マスタースレーブや通信機能はオプションで選択でき、幅広い分野や用途でお使いいただける直流安定化電源です。
led-kddb3,バー型照明,KDDB3 series,/product/led/images/pic_led25.jpg,反射でも透過でも使用できるマルチな照明。
led-kdhm3,フラット照明,KDHM3 series,/product/led/images/pic_led36.jpg,面均一度の高い薄型面照明。
led-kdpb2,中照度ライン照明,KDPB2 series,/product/led/images/pic_led37.jpg,多種多様な使用が可能なライン照明。
led-kdpl3,高照度ライン照明,KDPL3 series,/product/led/images/pic_led38.jpg,自然空冷で100万lxの高照度を実現。
led-lfm-150,ファイバー引き出し型照明,LFM-150 series,/product/led/images/pic_led39.jpg,メタハラ250W相当の明るさ小型化を実現。
led-xenon_to_led,,キセノン置き換えストロボ照明,/product/led/images/pic_led40.jpg,キセノンストロボ照明からの置換えをLEDで実現。
led-rgb,,RGB照明,/product/led/images/pic_led20.jpg,RGB発光により、1個の照明で多種検査が可能。京都電機器なら、小型・高照度・高均一度での製作が可能です。
led-kdpb,高輝度LEDライン照明,KDPB series,/product/led/images/pic_led21.jpg,蛍光灯からの置き換えに最適な照明。高均一性を実現。
led-kdpl2_fan,高輝度LEDライン照明,KDPL2-FAN,/product/led/images/pic_led22.jpg,ファン冷却により、KDPL2の約2倍の照度を実現。 (発光面で約100万lx)
led-kdfp,LEDフラットパネル照明,KDFP series,/product/led/images/pic_led23.jpg,薄型・軽量の均一フラットパネル照明。
led-lfm-80w,ファイバー引き出し型照明,LFM-80W,/product/led/images/pic_led24.jpg,LED採用によりメンテナンスフリー。メタハラ200W相当の明るさ、小型化を実現。
led-kdpl2,パワーライン照明,KDPL series,/product/led/images/pic_led01.jpg,KDPLは、パワーLEDを使用した超高輝度ライン照明です。100mm単位で個別調光が可能。また、発光面は集光タイプ・拡散板タイプをラインアップ。
led-kddb2,バー型照明,KDDB2 series,/product/led/images/pic_led02.jpg,KDDB2は、砲弾型LEDを高密度に実装した、直射光の照明です。反射・透過と幅広い用途で活躍可能なマルチ照明。
led-kddb2_q,4方向バー型照明,KDDB2-Q series,/product/led/images/pic_led03.jpg,KDDB2-Qは、バー照明を4方向に配置した照明です。各バー照明の角度調整及び照明毎の調光が可能。
led-kddl3,反射集光型ライン照明,KDDL3 series,/product/led/images/pic_led04.jpg,KDDL3は、特許取得の独自の光学設計を用いた、ライン照明です。照明長は100mm単位で3000mm(標準)まで製作可能。
led-kddr_p,パワーダイレクトリング照明,KDDR-P series,/product/led/images/pic_led05.jpg,KDDR-Pは、パワーLEDと独自の光学設計を用いることにより、従来のKDDR2シリーズの約5倍の照度を実現したリング照明です。
led-kddr2,ダイレクトリング照明,KDDR2/KDDR2-F series,/product/led/images/pic_led06.jpg,KDDR2は、砲弾型LEDを基板に傾斜をつけ、中央に直射光を照射する照明です。KDDR2-Fは、LEDを平面に実装することにより、ダイレクト型のKDDR2よりも広範囲を照射可能。
led-kddr2_la,ローアングルリング照明,KDDR2-LA/KDDR2-T series,/product/led/images/pic_led07.jpg,KDDR2-LAは、砲弾型LEDを大きく傾斜をつけた基板に実装することにより、ワークに近距離から照射が可能なリング照明です。KDDR2-Tは、砲弾型LEDを真横に実装したリング照明です。
led-kdfv2,疑似同軸落射照明,KDFV2 series,/product/led/images/pic_led08.jpg,KDFV2は、ハーフミラーを用いることによって、カメラ軸と同軸上に配置することが可能な照明です。
led-kddd2,ドーム照明,KDDD2 series,/product/led/images/pic_led09.jpg,KDDD2は、ドーム形状の反射板を利用することにより、凹凸や光沢面など、直射光で発生しやすかったワークに対し、ハレーションを抑えることのできる照明です。
